1,wk_code,wk_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
3,WK036201,Randwijck,2014,4.270599604867483,0.1683347537237974,0.0064002230091221,0.044195112697823,-0.0036676345541941,0.1670640836394402,-0.045657031068394
5,WK036201,Randwijck,2018,4.302987301626246,0.2007224504825603,-0.0056349141674062,0.0508163068740051,-0.0022052377679377,0.172163047387641,-0.0144167518437421
6,WK036201,Randwijck,2020,4.310702457253576,0.2084376061098918,0.0005578523858732957,0.0540720803249676,0.00039944073780324535,0.1881726292809184,-0.0347643966196711
7,WK036201,Randwijck,2022,4.328186939975703,0.2259220888320177,-0.007289500760402,0.054136824888332,-0.0037912123140788,0.1890082238243136,-0.0061422468061473
11,WK036202,Patrimonium,2014,4.312819768685171,0.2105549175414854,0.0335661223617883,0.0161446154131849,-0.0115074312201607,0.1438289923435293,0.0285226186431433
13,WK036202,Patrimonium,2018,4.299907014484111,0.1976421633404257,0.0164411930790374,0.0203875023159049,-0.0126215122507931,0.1455261104249438,0.0279088697713323
14,WK036202,Patrimonium,2020,4.327452652184433,0.2251878010407474,0.0245807252137708,0.0304771612441437,-0.0177142306848069,0.1606605740286027,0.0271835712390367
15,WK036202,Patrimonium,2022,4.325796064141405,0.2235312129977195,0.0221661606509955,0.0240207580878359,-0.0125333238090234,0.1624917246444883,0.0273858934234229
19,WK036203,Elsrijk,2014,4.262875502043642,0.1606106508999576,0.0056800853182931,0.030808520244837,-0.0117290437772258,0.162565631099303,-0.02671454198525
21,WK036203,Elsrijk,2018,4.2567732827838105,0.1545084316401245,-0.0111347580728295,0.033174693851902,-0.0098348927893607,0.1487229558151505,-0.0064195671647379
22,WK036203,Elsrijk,2020,4.277322519597907,0.1750576684542211,-0.0033721633026153,0.0314335627023963,-0.0084713523585632,0.1750287157058846,-0.0195610942928816
23,WK036203,Elsrijk,2022,4.2880714142166765,0.185806563072991,-0.0068333706340435,0.0308319927926972,-0.0124800546005317,0.1752920388463114,-0.0010040433314425
27,WK036204,Stadshart,2014,4.182589592875691,0.0803247417320053,0.0180000113309302,-0.0060086974899455,-0.0278709322820986,0.1798111914981002,-0.0836068313249811
29,WK036204,Stadshart,2018,4.1468239281837205,0.0445590770400356,-0.0037890224581858,-0.0130793511602637,-0.0317138382437639,0.1442665540409549,-0.0511252651387059
30,WK036204,Stadshart,2020,4.167126699244987,0.0648618481013016,0.0102078845180464,-0.016181650213154,-0.0242462836265853,0.1665987421176931,-0.0715168446946988
31,WK036204,Stadshart,2022,4.18987089017682,0.0876060390331349,0.014988352250932,-0.0202579156746929,-0.0347124644582833,0.1645476589392649,-0.036959592024086
35,WK036205,Uilenstede - Kronenburg,2014,3.732543433486889,-0.3697214176567961,0.0067341954958731,-0.0944950369461892,-0.0201453659600504,0.1590552657593682,-0.4208704760057981
37,WK036205,Uilenstede - Kronenburg,2018,4.085115315275467,-0.0171495358682187,0.0083848601207502,-0.074091593035025,-0.003041410039595,0.1614369718422782,-0.1098383647566271
38,WK036205,Uilenstede - Kronenburg,2020,4.122629397103652,0.0203645459599668,0.0176800811784375,-0.0870388218078269,-0.0026797725413435,0.1987916008913205,-0.1063885417606208
39,WK036205,Uilenstede - Kronenburg,2022,4.054529948582003,-0.0477349025616828,0.0061912259726652,-0.0764841093972654,-0.0115908730215704,0.1745830141029085,-0.1404341602184213
43,WK036206,Bankras - Kostverloren,2014,4.14828381998519,0.0460189688415051,-0.0003742971630355522,0.0182597892231711,-0.0301610918453334,0.1121837112287501,-0.0538891426020474
45,WK036206,Bankras - Kostverloren,2018,4.140732322305433,0.0384674711617482,-0.0058885309220357,0.0133688683772797,-0.0341568675733363,0.1059719356237003,-0.04082793434386
46,WK036206,Bankras - Kostverloren,2020,4.167393068887804,0.0651282177441184,0.0036239457113819,0.0153285241355972,-0.0344464878390662,0.130121017966719,-0.0494987822305138
47,WK036206,Bankras - Kostverloren,2022,4.173881269751701,0.0716164186080151,0.0022431509476008,0.0197591331274567,-0.0393647449116251,0.122861413671221,-0.0338825342266387
51,WK036207,Buitengebied Noord,2014,4.463798210958043,0.3615333598143571,-0.0088247753927251,0.1221676195824055,0.0898207687616451,0.0754710617313673,0.0828986851316637
53,WK036207,Buitengebied Noord,2018,4.460778636053992,0.3585137849103066,-0.0078018905930786,0.1159914875809894,0.0837666234790624,0.0748749474308414,0.0916826170124917
54,WK036207,Buitengebied Noord,2020,4.454360471139021,0.3520956199953358,0.0011201458241159,0.1023671259973168,0.0776744035759998,0.0744855639587564,0.0964483806391464
55,WK036207,Buitengebied Noord,2022,4.428655758459171,0.3263909073154856,-0.00034157918372362914,0.1065386571073649,0.0719149224087615,0.0646110172839908,0.0836678896990915
59,WK036208,Keizer Karelpark,2014,4.147020315325359,0.0447554641816743,0.0056491921042218,-0.0016900338434719,-0.0358997442920951,0.120013412341609,-0.0433173621285897
61,WK036208,Keizer Karelpark,2018,4.176429185517752,0.0741643343740673,-0.0005309481660923905,0.0132118794882195,-0.0323091958039152,0.1211780057395469,-0.0273854068836917
62,WK036208,Keizer Karelpark,2020,4.1691531757565015,0.0668883246128159,0.0064242181852055,0.0149581322519903,-0.0333992881502815,0.1348320053473873,-0.0559267430214859
63,WK036208,Keizer Karelpark,2022,4.197002919805144,0.094738068661458,0.0088971320834767,0.0157969877395195,-0.0251712685123197,0.1283473072077827,-0.0331320898570015
67,WK036209,Groenelaan,2014,4.0443743337938685,-0.0578905173498172,0.0076289841729247,0.0042662688866229,-0.0653909260719916,0.049579994910121,-0.0539748392474944
69,WK036209,Groenelaan,2018,4.045640366323732,-0.0566244848199535,-0.008122708910662,-0.005631820548908,-0.0673640192593091,0.0579722892043515,-0.0334782253054262
70,WK036209,Groenelaan,2020,4.048157717092887,-0.0541071340507984,0.0063421885011961,-0.0152492553427906,-0.071137028389706,0.0835577644805944,-0.0576208033000926
71,WK036209,Groenelaan,2022,4.068028551524034,-0.0342362996196506,0.0046949720276606,-0.0133824986478643,-0.0730116066817403,0.084260449152599,-0.0367976154703059
75,WK036210,Waardhuizen - Middenhoven,2014,4.102573372827581,0.00030852168389592104,0.0069438867029776,0.0153301580745282,-0.0357808475448188,0.0257780946260607,-0.0119627701748521
77,WK036210,Waardhuizen - Middenhoven,2018,4.111753705312586,0.0094888541689009,-0.0020361115630848,0.0312918724971617,-0.0390367332809729,0.0184207124262118,0.0008491140895848722
78,WK036210,Waardhuizen - Middenhoven,2020,4.127605846581486,0.0253409954378004,0.0131490593363996,0.0367179654301469,-0.0422813062145601,0.029105970600588,-0.0113506937147743
79,WK036210,Waardhuizen - Middenhoven,2022,4.124376714731274,0.0221118635875883,0.0053062941496939,0.032581621788364,-0.0408721661330703,0.0250045899864563,9.15237961440333e-05
83,WK036211,Bovenkerk - Westwijk Noord,2014,4.1153551368874925,0.0130902857438074,0.0146535661416015,0.0169275363615655,-0.0221962009429602,0.0050151387170616,-0.0013097545334613
85,WK036211,Bovenkerk - Westwijk Noord,2018,4.119261768316827,0.0169969171731413,0.0029148017538164,0.0303775818216205,-0.02049595818386,-1.7296433791671586e-06,0.0042022214249433
86,WK036211,Bovenkerk - Westwijk Noord,2020,4.121668139451251,0.0194032883075658,0.0127986316233334,0.0321292622502149,-0.0269963090370767,0.010103825517465,-0.0086321220463711
87,WK036211,Bovenkerk - Westwijk Noord,2022,4.152716059971955,0.0504512088282699,0.0094205415413518,0.0528603585143786,-0.0176335739513746,0.0079167988710328,-0.002112916147119
91,WK036212,Westwijk Zuid,2014,4.148118292243184,0.0458534410994981,-0.0087454775801566,0.0351177991238722,0.0484861967573186,-0.0367082363684581,0.0077031591669219
93,WK036212,Westwijk Zuid,2018,4.128565437919712,0.0263005867760273,-0.0175123725744905,0.0329051940858241,0.0260936757191153,-0.0355076143513968,0.020321703896975
94,WK036212,Westwijk Zuid,2020,4.145989063863399,0.0437242127197143,-0.0050473139479395,0.0390847510286394,0.0196807446719587,-0.0296670121239601,0.0196730430910156
95,WK036212,Westwijk Zuid,2022,4.17143634909939,0.0691714979557049,-0.0030069697983641,0.0500339647551629,0.0285742800672651,-0.0305086475401739,0.0240788704718146
99,WK036213,Buitengebied Zuid,2014,4.18600145571734,0.0837366045736546,-0.0533537235457695,0.0963476607875214,0.055692070938595,-0.0854500224046353,0.0705006187979428
101,WK036213,Buitengebied Zuid,2018,4.178954119757706,0.0766892686140209,-0.0479453796146154,0.0967002971476177,0.0480879110547172,-0.0882850911758632,0.0681315312021645
102,WK036213,Buitengebied Zuid,2020,4.212055111295999,0.109790260152314,-0.0421067611348816,0.1078518177662216,0.0606972584127173,-0.0838240615141172,0.0671720066223736
103,WK036213,Buitengebied Zuid,2022,4.186997509859349,0.0847326587156638,-0.0463058906684173,0.0843571277846989,0.060006074032444,-0.0840177728429462,0.0706931204098841
107,WK036214,Amsterdamse Bos,2014,4.386817165521104,0.2845523143774192,0.0562853841652337,0.0191830066592002,0.0429946226670704,0.1171745457343329,0.0489147551515816
109,WK036214,Amsterdamse Bos,2018,4.434367265989723,0.3321024148460374,0.0522130517565044,0.0561989514144215,0.0533034923610824,0.1239164609493574,0.046470458364671
110,WK036214,Amsterdamse Bos,2020,4.465157864241959,0.3628930130982733,0.0640748808914227,0.0660846927776692,0.0509268235801818,0.1378877957304631,0.043918820118536
111,WK036214,Amsterdamse Bos,2022,4.447309736184864,0.3450448850411785,0.0669574456927608,0.0809858816903517,0.0395450103832137,0.1461763877616841,0.0113801595131675
